time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000749,0.0263,-0.1423,0.3047,0.337
0.008665,0.2880,-0.0804,0.2129,0.367
0.019193,0.3141,-0.3282,0.2686,0.528
0.028419,0.6137,-0.4609,0.0924,0.773
0.039421,0.9042,-0.4733,-0.3095,1.067
0.048893,0.9619,-0.4003,-0.4553,1.137
0.059181,0.7046,-0.2902,-0.8370,1.132
0.069283,0.5737,-0.2573,-0.4937,0.799
0.078751,0.6880,-0.2029,-0.4604,0.852
0.089057,0.6398,-0.1654,-0.2937,0.723
0.099213,0.4907,-0.1637,-0.2993,0.598
0.109250,0.4356,-0.1559,-0.0138,0.463
0.118895,0.3801,-0.1285,0.3200,0.513
0.129167,0.0593,-0.2592,0.5445,0.606
0.139115,0.0833,-0.2871,0.6330,0.700
0.148903,0.2880,-0.1076,0.4915,0.580
0.159537,0.4768,0.0683,0.0707,0.487
0.169503,0.5043,0.1970,-0.2125,0.582
0.183137,0.4335,0.1934,-0.3271,0.576
0.237947,0.3113,0.2456,-0.8398,0.929
0.238511,0.3108,0.2424,-0.8385,0.927
0.238765,0.3142,0.2425,-0.8400,0.929
0.238908,0.3175,0.2458,-0.8425,0.933
0.239056,0.3208,0.2487,-0.8448,0.937
0.239394,0.4035,0.3157,-0.1431,0.532
0.250201,0.2922,0.1752,-0.1105,0.358
0.259450,0.3817,0.0257,-0.3899,0.546
0.270732,0.4834,0.0497,-0.2049,0.527
0.282191,0.5787,0.1220,0.1734,0.616
0.289440,0.5364,0.1126,0.3565,0.654
0.300659,0.3809,0.0086,0.3787,0.537
0.308953,0.2138,-0.0799,0.1984,0.302
0.319223,0.1645,-0.0866,0.0793,0.202
0.333260,0.2278,-0.0084,-0.0555,0.235
0.340054,0.5127,0.0780,-0.2479,0.575
0.349490,0.6353,0.2035,-0.3792,0.767
0.359370,0.7692,0.3341,-0.5016,0.977
0.369121,0.7766,0.4771,-0.4465,1.015
0.379108,0.5301,0.4605,-0.4878,0.855
0.389515,0.1528,0.2240,-0.5538,0.617
0.405822,0.1800,0.1527,-0.7823,0.817
0.409094,0.1078,0.1869,0.5266,0.569
0.419417,0.0786,0.0503,0.5823,0.590
0.429374,0.0322,0.0298,0.4624,0.464
0.439236,0.3459,0.1182,0.1606,0.399
0.449336,0.7976,0.2438,0.3895,0.921
0.459565,0.7831,0.0297,0.4618,0.910
0.469516,0.7050,-0.2059,0.8166,1.098
73.829364,-0.1324,-0.1859,-0.7564,0.790
73.839634,-0.6300,-0.0871,-0.6512,0.910
73.849275,-0.6471,-0.1008,-0.4447,0.792
73.859603,-0.4757,-0.1066,-0.1841,0.521
73.869223,-0.1576,-0.0563,0.3561,0.393
73.879853,0.1009,0.0610,0.9977,1.005
73.889371,0.3819,0.1456,1.2832,1.347
73.900025,0.7094,-0.1068,0.9682,1.205
73.909291,0.7523,-0.1494,0.6917,1.033
73.919901,0.3319,-0.2164,0.4822,0.624
73.978854,-0.2685,-0.2621,0.3899,0.541
73.979236,-0.2552,-0.2423,0.3841,0.521
73.979349,-0.2556,-0.2331,0.3798,0.514
73.979463,-0.2705,-0.2343,0.3770,0.520
73.979566,-0.2901,-0.2451,0.3774,0.535
73.980645,-0.0559,-0.3828,0.3466,0.519
73.990235,-0.0623,-0.3935,0.3499,0.530
73.999221,0.1455,0.0539,0.0270,0.158
