time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.917149,0.5459,0.1723,0.3847,0.690
0.926720,0.3712,0.0749,0.3567,0.520
0.938147,0.4275,0.1033,0.3331,0.552
0.946758,0.4481,0.1155,0.2605,0.531
0.957788,0.4175,0.0599,0.1806,0.459
0.970927,0.2682,0.0175,-0.0037,0.269
0.978157,0.1544,0.1224,-0.1975,0.279
0.987439,0.0178,0.2030,-0.4133,0.461
0.997137,-0.0725,0.2399,-0.5456,0.600
1.007121,-0.1100,0.2132,-0.4739,0.531
1.017463,-0.1448,0.2219,-0.2874,0.391
1.027481,-0.1710,0.1487,-0.1913,0.297
1.037870,-0.1780,0.0692,-0.1460,0.240
1.047070,-0.0898,-0.0421,-0.1497,0.180
1.056885,-0.1045,-0.1263,-0.0443,0.170
1.067129,-0.0680,-0.0955,-0.0884,0.147
1.124223,-0.1994,-0.3188,0.0074,0.376
1.124806,-0.1625,-0.2893,-0.0348,0.334
1.124951,-0.1240,-0.2602,-0.0770,0.298
1.125101,-0.0812,-0.2302,-0.1215,0.273
1.125471,-0.0269,-0.1989,-0.1723,0.265
1.126567,0.3007,-0.1202,-0.2418,0.404
1.136712,0.2681,-0.1426,0.1960,0.361
1.146877,0.2662,-0.1718,0.0991,0.332
1.157288,0.3789,-0.2074,-0.0578,0.436
1.166860,0.3274,-0.2012,-0.0180,0.385
1.177439,-0.0225,-0.2354,0.1217,0.266
1.187283,-0.3681,-0.1831,0.1555,0.440
1.197518,-0.6453,-0.0977,0.0285,0.653
1.207284,-0.9783,0.0176,0.0771,0.981
1.216735,-0.8084,0.1226,-0.2231,0.848
1.226619,-0.6202,0.3787,-0.5855,0.933
1.236750,-0.6231,0.4328,-0.7609,1.075
1.246804,-0.2427,0.4027,-0.5728,0.741
1.256811,-0.0087,0.4715,-0.1669,0.500
1.266746,-0.0441,-0.0310,0.2644,0.270
1.276932,0.2021,-0.2594,0.3360,0.470
1.286482,0.4796,-0.2502,0.4291,0.690
1.296785,0.3684,-0.2121,0.6782,0.800
1.306680,0.0737,-0.1825,0.7784,0.803
1.316288,-0.0339,-0.0132,0.6817,0.683
1.327018,-0.1361,0.0722,0.4895,0.513
1.336697,-0.3888,-0.0383,0.4504,0.596
1.346912,-0.4913,-0.1378,0.0695,0.515
1.356588,-0.8158,-0.0155,0.7912,1.137
1.366877,-0.7067,0.0462,0.1922,0.734
1.376771,-0.5675,0.0721,0.1549,0.593
1.386626,0.0519,-0.3893,0.0572,0.397
1.396663,0.4246,-0.3186,-0.2110,0.571
1.407063,0.7818,-0.0719,-0.4479,0.904
1.416931,0.8813,0.1338,-0.5099,1.027
1.426939,0.7497,0.1520,-0.5344,0.933
1.488410,-0.1937,-0.1332,-1.8630,1.878
1.489989,-0.1049,-0.0635,-1.8999,1.904
1.490284,-0.0222,0.0247,-1.9415,1.942
1.490538,0.0084,0.1331,-1.9839,1.988
1.490979,-0.0059,0.2521,-2.0242,2.040
1.491248,-0.0328,0.3865,-2.0666,2.103
1.497522,-0.1309,-0.0667,0.2471,0.287
1.507393,-0.3687,-0.2194,0.3979,0.585
1.517929,-0.7995,-0.7835,0.6693,1.304
1.528912,-1.7243,-1.6636,0.8197,2.532
1.538987,-1.8165,-1.4802,0.7867,2.472
1.549154,-1.7294,-1.4117,1.1205,2.498
1.559224,-1.1897,-2.8087,3.4780,4.626
1.568388,1.5282,-1.8048,2.6629,3.561
1.578221,3.2605,-0.0644,-2.2886,3.984
1.589202,3.2185,0.6806,-1.2882,3.533
1.598593,1.6714,-0.2070,1.1971,2.066
1.607694,0.5846,-0.8520,1.1245,1.527
1.618161,0.0831,-0.8953,0.8806,1.259
1.628447,0.1779,-0.7255,0.8578,1.137
1.638703,0.4451,0.0909,0.3036,0.546
1.646860,0.4255,0.3330,0.1894,0.572
1.657945,0.5633,0.3004,0.5213,0.824
1.666615,0.5600,0.4262,0.5208,0.875
1.676572,0.8958,0.1065,0.8448,1.236
1.687902,1.2412,-0.0999,0.9380,1.559
1.696746,1.1588,-0.4201,0.9656,1.566
1.706477,1.0582,-0.5180,1.1602,1.654
1.716521,0.8849,-0.4895,1.4576,1.774
1.726419,0.6968,-0.4642,1.6034,1.809
1.736217,1.1379,-0.3010,1.5428,1.941
1.746137,1.2569,-0.6139,1.4037,1.982
1.757059,1.6210,-0.7095,1.9658,2.645
1.766550,1.7427,0.0805,2.7286,3.239
1.776406,1.1099,0.4932,3.0197,3.255
1.788049,0.4505,0.3374,2.4911,2.554
1.797335,0.8387,1.7920,-0.9402,2.191
1.853644,1.1280,-0.1643,0.0721,1.142
1.854222,1.2006,-0.2231,0.0615,1.223
1.854491,1.2574,-0.2436,0.0509,1.282
1.854750,1.2914,-0.2546,0.0445,1.317
1.855015,1.3175,-0.2695,0.0405,1.345
1.858332,1.9744,0.4918,0.6390,2.133
1.867487,2.0035,0.4510,0.6377,2.150
1.878712,1.2559,0.6008,-0.5527,1.498
1.889033,1.2863,0.5565,-0.5532,1.507
1.898561,0.4651,0.5473,-0.8941,1.147
1.907990,0.0123,0.6603,-1.0348,1.228
1.917331,-0.3394,0.7373,-1.1909,1.441
1.928023,-0.2922,0.7080,-1.1957,1.420
1.938070,-0.5986,0.7330,-1.3213,1.625
1.948406,-0.5722,0.8325,-0.9174,1.365
1.957712,-0.1384,0.9230,-0.8536,1.265
1.968198,0.3702,0.9110,-1.0120,1.411
1.976901,0.8493,0.8629,-0.9195,1.520
1.988583,0.9490,0.7338,-0.8448,1.467
1.997079,0.9238,0.9353,-0.4461,1.388
2.007762,0.7893,1.3245,0.3223,1.575
2.017584,1.1041,3.5662,1.0930,3.890
2.026090,1.5914,4.3107,0.9309,4.688
2.036092,0.5215,3.0171,1.3302,3.338
2.045987,-1.5762,0.8762,1.1648,2.147
2.056286,-3.5237,-1.6863,0.4836,3.936
2.066079,-4.6955,-4.2346,-0.7573,6.368
2.076150,-3.6410,-3.6239,-1.8916,5.474
2.086081,-1.7150,-0.3867,-1.6312,2.398
2.096937,-1.1767,0.7215,-0.6497,1.526
2.106577,-1.3192,0.1684,-0.3777,1.382
2.116613,-1.4222,-0.0840,-0.2178,1.441
2.126548,-1.3853,0.0209,0.0409,1.386
2.137352,-1.5166,0.0968,0.1211,1.525
2.147198,-1.9698,0.0448,0.1223,1.974
2.158210,-2.0611,0.1664,0.1967,2.077
2.217157,-2.3384,0.1115,0.4800,2.390
2.218497,-2.3007,0.1219,0.4743,2.352
2.218992,-2.2547,0.1300,0.4684,2.307
2.219422,-2.2136,0.1349,0.4637,2.266
2.219704,-2.1899,0.1385,0.4609,2.242
2.220074,-2.1837,0.1433,0.4596,2.236
2.226941,-1.1783,0.2743,-0.2923,1.245
2.238102,-1.1586,0.3706,-0.2534,1.243
2.247773,-1.4006,0.4777,-0.5536,1.580
2.257437,-1.8752,0.4937,-1.0659,2.213
2.267634,-2.5782,0.3190,-1.5853,3.043
2.280032,-2.9118,0.1788,-1.6989,3.376
2.287024,-2.5737,-0.0852,-1.4622,2.961
2.298455,-2.3449,-0.5535,-1.0191,2.616
2.306801,-1.8437,-0.6128,0.0031,1.943
2.316165,-0.9524,-0.1862,0.5323,1.107
2.327562,-0.6221,-0.0739,0.1377,0.641
2.336891,-0.2009,0.0147,-0.3891,0.438
2.346334,0.4374,0.1234,-0.9415,1.045
2.356530,1.3342,-0.2011,-1.8924,2.324
2.367786,1.4101,-0.8144,-2.5327,3.011
2.380575,1.2753,-1.1761,-2.6643,3.179
2.386738,1.1318,-1.2413,-4.7260,5.016
2.397093,0.7349,-1.2725,-6.1008,6.275
